Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,0.314732,0.334821,0.312500,0.332589,0.265694,183198400
1990-01-03,0.339286,0.339286,0.334821,0.334821,0.267477,207995200
1990-01-04,0.341518,0.345982,0.332589,0.335938,0.268369,221513600
1990-01-05,0.337054,0.341518,0.330357,0.337054,0.269261,123312000
1990-01-08,0.334821,0.339286,0.330357,0.339286,0.271044,101572800
1990-01-09,0.339286,0.339286,0.330357,0.335938,0.268369,86139200
1990-01-10,0.335938,0.335938,0.319196,0.321429,0.256779,199718400
1990-01-11,0.323661,0.323661,0.308036,0.308036,0.246079,211052800
1990-01-12,0.305804,0.310268,0.301339,0.308036,0.246079,171897600
1990-01-15,0.308036,0.319196,0.305804,0.305804,0.244296,161739200
1990-01-16,0.299107,0.312500,0.292411,0.311384,0.248754,214244800
1990-01-17,0.310268,0.310268,0.294643,0.296875,0.237163,197299200
1990-01-18,0.294643,0.299107,0.287946,0.289063,0.230922,273291200
1990-01-19,0.301339,0.308036,0.299107,0.305804,0.244296,265137600
1990-01-22,0.303571,0.308036,0.296875,0.296875,0.237163,145611200
1990-01-23,0.301339,0.305804,0.294643,0.301339,0.240729,140873600
1990-01-24,0.290179,0.305804,0.287946,0.303571,0.242512,169792000
1990-01-25,0.305804,0.310268,0.303571,0.304688,0.243405,111540800
1990-01-26,0.303571,0.303571,0.287946,0.292411,0.233597,181249600
1990-01-29,0.294643,0.299107,0.286830,0.296875,0.237163,119929600
1990-01-30,0.296875,0.308036,0.294643,0.303571,0.242512,116446400
1990-01-31,0.308036,0.310268,0.294643,0.303571,0.242512,143942400
1990-02-01,0.308036,0.309152,0.299107,0.300223,0.239838,117073600
1990-02-02,0.296875,0.310268,0.296875,0.305804,0.244296,118473600
1990-02-05,0.305804,0.314732,0.303571,0.312500,0.249645,101752000
1990-02-06,0.310268,0.312500,0.303571,0.310268,0.247862,73920000
1990-02-07,0.294643,0.303571,0.290179,0.296875,0.237163,312446400
1990-02-08,0.296875,0.299107,0.287946,0.294643,0.235380,186636800
1990-02-09,0.299107,0.308036,0.296875,0.305804,0.244296,168078400
1990-02-12,0.305804,0.308036,0.301339,0.303571,0.242512,74916800
1990-02-13,0.303571,0.312500,0.301339,0.308036,0.246079,102166400
1990-02-14,0.308036,0.310268,0.301339,0.305804,0.244296,96062400
1990-02-15,0.301339,0.305804,0.299107,0.305804,0.244296,97966400
